IDDPTO,NOMBDEP,IDPROV,NOMBPROV,IDDIST,NOMBDIST,CAPITAL,DOC,NRO_DOC,FECHA,COMENTARIO,NRO_CCPP,REGION_NAT,LIM_FRONTE,FRONTERA,FUENTE
"03",APURIMAC,"0302",ANDAHUAYLAS,"030220",JOSE MARIA ARGUEDAS,HUANCABAMBA,LEY,"30295",27/12/2014,,9.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030415",TINTAY,TINTAY,LEY,"13787",27/12/1961,,65.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030409",LUCRE,LUCRE,LEY,"13411",24/03/1960,,61.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0302",ANDAHUAYLAS,"030214",SAN MIGUEL DE CHACCRAMPA,CHACCRAMPA,LEY,"25235",8/06/1990,,27.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0302",ANDAHUAYLAS,"030206",HUAYANA,HUAYANA,LEY,"23977",30/10/1984,,23.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030404",CHAPIMARCA,CHAPIMARCA,LEY,S/N,25/11/1876,,55.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030405",COLCABAMBA,COLCABAMBA,LEY,S/N,2/01/1857,,24.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0303",ANTABAMBA,"030304",JUAN ESPINOZA MEDRANO,MOLLEBAMBA,LEY,"9690",12/12/1942,,173.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030406",COTARUSE,COTARUSE,LEY,"1962",1/06/1914,,141.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0303",ANTABAMBA,"030301",ANTABAMBA,ANTABAMBA,LEY,S/N,2/01/1857,,125.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030403",CARAYBAMBA,CARAYBAMBA,LEY,"12678",14/12/1956,,25.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0303",ANTABAMBA,"030303",HUAQUIRCA,HUAQUIRCA,LEY,"10176",17/01/1945,,55.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0303",ANTABAMBA,"030307",SABAINO,SABAINO,LEY,"10176",17/01/1945,,66.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0307",GRAU,"030713",VIRUNDO,SAN JUAN DE VIRUNDO,LEY,"24168",12/06/1985,,20.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030401",CHALHUANCA,CHALHUANCA,LEY,S/N,2/01/1857,,58.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030410",POCOHUANCA,POCOHUANCA,LEY,"11627",8/10/1951,,26.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0303",ANTABAMBA,"030305",OROPESA,OROPESA,LEY,S/N,2/01/1857,,102.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030417",YANACA,YANACA,LEY,"13793",28/12/1961,,53.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0305",COTABAMBAS,"030504",HAQUIRA,HAQUIRA,LEY,S/N,2/01/1857,,132.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0307",GRAU,"030705",MAMARA,MAMARA,LEY,S/N,2/01/1857,,17.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0307",GRAU,"030711",TURPAY,TURPAY,LEY,"12962",28/02/1958,,20.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0307",GRAU,"030709",SAN ANTONIO,SAN ANTONIO,LEY,"12984",17/03/1958,,12.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0307",GRAU,"030707",PATAYPAMPA,PATAYPAMPA,LEY,"13786",27/12/1961,,12.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030412",SAÑAYCA,SAÑAYCA,LEY,"10014",14/11/1944,,30.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0303",ANTABAMBA,"030306",PACHACONAS,PACHACONAS,LEY,S/N,20/08/1872,,29.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030413",SORAYA,SORAYA,LEY,S/N,2/01/1857,,22.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0307",GRAU,"030710",SANTA ROSA,SANTA ROSA,LEY,"25245",14/06/1990,,9.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0305",COTABAMBAS,"030506",CHALLHUAHUACHO,CHALLHUAHUACHO,LEY,"26391",18/11/1994,,102.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0302",ANDAHUAYLAS,"030210",PAMPACHIRI,PAMPACHIRI,LEY,S/N,2/01/1857,,106.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0303",ANTABAMBA,"030302",EL ORO,AYAHUAY,LEY,"13677",18/08/1961,,14.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0307",GRAU,"030701",CHUQUIBAMBILLA,CHUQUIBAMBILLA,LEY,S/N,2/01/1857,,110.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030414",TAPAIRIHUA,TAPAIRIHUA,LEY,S/N,2/01/1857,,52.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
"03",APURIMAC,"0304",AYMARAES,"030402",CAPAYA,CAPAYA,LEY,"12542",12/01/1956,,18.00000000000,SIERRA,No,,"SDOT-PCM, 2023"
